003	I	001	2290
004	I	001	2940
005	I	001	4545
006	I	001	6290
007	I	001	0
008	I	001	2000
009	I	001	5010
010	I	001	1950
011	I	001	0
012	I	001	5780
013	I	001	4720
014	I	001	5100
015	I	001	4410
016	I	001	2775
017	I	001	2775
018	I	001	2815
019	I	001	2505
020	I	001	2685
021	I	001	2710
022	I	001	2340
023	I	001	2310
024	I	001	2400
025	I	001	2280
026	I	001	2100
027	I	001	1740
028	I	001	4930
029	I	001	2925
030	I	001	1810
031	I	001	1860
032	I	001	0
033	I	001	1740
034	I	001	4255
035	I	001	2790
036	I	001	4565
037	I	001	2525
039	I	001	1550
040	I	001	0
042	I	001	1515
043	I	001	0
044	I	001	4465
045	I	001	2055
046	I	001	5025
047	I	001	0
048	I	001	3170
049	I	001	0
050	I	001	1540
051	I	001	0
052	I	001	2290
053	I	001	1540
054	I	001	1540
055	I	001	1590
056	I	001	0
057	I	001	1540
059	I	001	2385
061	I	001	0
064	I	001	3180
066	I	001	2815
062	I	001	5025
067	I	001	3330
068	I	001	0
069	I	001	5340
070	I	001	0
071	I	001	2145
072	I	001	2145
003	I	002	796.5
003	I	003	200
005	I	005	1035
004	I	002	1269
004	I	003	200
004	I	005	705
005	I	002	1863
005	I	003	200
005	I	005	1035
006	I	002	2294
006	I	003	200
006	I	005	1433.75
007	I	002	1626.75
007	I	003	200
007	I	005	903
007	I	005	903.75
008	I	002	925
008	I	003	200
008	I	005	462.5
009	I	002	1912.5
009	I	003	200
009	I	005	1062.5
010	I	002	900
010	I	003	200
010	I	005	450
011	I	002	812.5
011	I	003	200
011	I	005	406.25
012	I	002	2371.5
012	I	003	200
012	I	005	1317.5
013	I	002	1914.75
013	I	003	200
013	I	005	1063.75
014	I	002	1989
014	I	003	200
014	I	005	1105
015	I	002	1775.25
015	I	003	200
015	I	005	986.25
016	I	002	1252.5
016	I	003	200
016	I	005	626.25
017	I	002	1252.5
017	I	003	200
017	I	005	626.25
018	I	002	1250
018	I	003	200
018	I	005	625
019	I	002	1072.5
019	I	003	200
019	I	005	536.25
020	I	002	1072.5
020	I	003	200
020	I	005	536.25
021	I	002	1072.5
021	I	003	200
021	I	005	536.25
022	I	002	1080
022	I	003	200
022	I	005	540
023	I	002	1020
023	I	003	200
023	I	005	510
024	I	002	975
024	I	003	200
024	I	005	487.5
025	I	002	1005
025	I	003	200
025	I	005	502.5
026	I	002	990
026	I	003	200
026	I	005	495
027	I	002	820
027	I	003	200
027	I	005	410
028	I	002	1989
028	I	003	200
028	I	005	1105
029	I	002	1077.75
029	I	003	200
029	I	005	598.75
030	I	002	805
030	I	003	200
030	I	005	402.5
031	I	002	830
031	I	003	200
031	I	005	415
032	I	001	0
032	I	001	0
032	I	001	0
033	I	002	795
033	I	003	200
033	I	005	397.5
034	I	002	1566
034	I	003	200
034	I	005	870
035	I	002	983.25
035	I	003	200
035	I	005	546.25
036	I	002	1748.25
036	I	003	200
036	I	005	971.25
037	I	002	900
037	I	003	200
037	I	005	500
039	I	002	725
039	I	003	200
039	I	005	362.5
040	I	002	866.25
040	I	003	200
040	I	005	481.25
042	I	002	665
042	I	003	200
042	I	005	332.5
043	I	002	2202
043	I	003	200
043	I	005	2752.5
044	I	002	1703.25
044	I	003	200
044	I	005	946.25
045	I	001	2055
045	I	001	2055
045	I	001	2055
046	I	002	1714
046	I	003	200
046	I	005	1071.25
047	I	002	1104.75
047	I	003	200
047	I	005	613.75
048	I	002	1120.5
048	I	003	200
048	I	005	922.5
049	I	002	805.5
049	I	003	200
049	I	005	447.5
050	I	002	595
050	I	003	200
050	I	005	297.5
051	I	002	595
051	I	003	200
051	I	005	297.5
052	I	002	765
052	I	003	200
052	I	005	382.5
053	I	002	595
053	I	003	200
053	I	005	297.5
054	I	002	595
054	I	003	200
054	I	005	285
055	I	003	200
055	I	002	595
055	I	005	297.5
056	I	002	595
056	I	003	200
056	I	005	297.5
057	I	002	595
057	I	003	200
057	I	005	297.5
059	I	002	906.75
059	I	003	200
059	I	005	503.75
061	I	002	2088
061	I	003	200
061	I	005	1305
064	I	002	1080
064	I	003	200
064	I	005	600
066	I	002	1030.5
066	I	003	200
066	I	005	572.5
062	I	001	5025
062	I	001	5025
062	I	001	5025
063	I	001	0
063	I	003	800
063	I	005	800
067	I	002	1323
067	I	003	200
067	I	005	735
068	I	002	1235
068	I	003	200
068	I	005	617.5
069	I	002	2241
069	I	003	200
069	I	005	1245
070	I	002	1202.5
070	I	003	200
070	I	005	601.25
071	I	002	802.5
071	I	003	200
071	I	005	401.25
072	I	001	2145
072	I	001	2145
072	I	001	2145
073	I	001	3740
073	I	002	1032.75
073	I	003	200
073	I	003	200
073	I	005	573.75
074	I	001	1545
074	I	001	1545
074	I	001	1545
074	I	001	1545
076	I	001	1950
076	I	002	925
076	I	003	200
076	I	005	462.5
058	I	001	2520
058	I	001	2520
058	I	001	2520
058	I	001	2520
077	I	001	0
077	I	001	0
077	I	001	0
077	I	001	0
078	I	001	5430
078	I	002	1676.25
078	I	003	200
078	I	005	931.25
105	I	001	2045
105	I	002	684
105	I	003	200
106	I	001	2145
106	I	002	965.25
106	I	003	200
107	I	001	2220
107	I	001	2220
107	I	001	2220
108	I	001	1965
108	I	002	675
108	I	003	200
109	I	001	3570
109	I	002	1370.25
109	I	003	200
110	I	001	4670
110	I	002	1370.25
110	I	003	200
111	I	001	2385
111	I	002	690.75
111	I	003	200
111	I	005	383.75
108	I	005	337.5
112	I	001	0
112	I	002	613
112	I	003	200
